Rank,Avg,Pos,Name,Team,Age,AddisonH,Dan M,Joe C,Ken K,Richard C,Rob W,Ryan M,Value,Follow
1,1.14,RB1,Jeremiyah Love,ARI,20,1,1,1,1,2,1,1,,
2,2.71,WR1,Jordyn Tyson,NO,21,2,3,2,2,3,3,4,,
3,3.29,QB1,Fernando Mendoza,LV,22,4,4,5,3,1,4,2,,
4,3.43,WR2,Carnell Tate,TEN,21,5,2,4,4,4,2,3,,
5,4.57,WR3,Makai Lemon,PHI,21,3,5,3,5,6,5,5,,
6,6.14,WR4,KC Concepcion,CLE,21,7,6,6,6,5,7,6,,
7,6.71,RB2,Jadarian Price,SEA,22,6,7,7,7,7,6,7,,
8,8.57,WR5,Omar Cooper Jr,NYJ,22,10,8,9,8,8,8,9,,
9,9.14,TE1,Kenyon Sadiq,NYJ,21,11,9,8,9,10,9,8,,
10,11.29,TE2,Eli Stowers,PHI,23,8,10,11,12,13,15,10,,
11,11.57,QB2,Ty Simpson,LAR,23,9,15,12,10,9,10,16,,
12,11.86,WR6,Denzel Boston,CLE,22,12,12,14,11,12,11,11,,
13,14.14,WR7,Chris Bell,MIA,21,13,14,17,13,14,13,15,,
14,15.14,WR8,Germie Bernard,PIT,22,15,11,15,14,24,14,13,,
15,15.71,RB3,Jonah Coleman,DEN,22,16,13,13,15,15,24,14,,
16,17.00,WR9,Antonio Williams,WAS,21,22,16,10,16,25,18,12,,
17,17.71,WR10,Ted Hurst,TB,21,21,17,23,18,11,17,17,,
18,18.86,WR11,De'Zhaun Stribling,SF,23,14,21,16,25,18,12,26,,
19,21.71,WR12,Chris Brazzell II,CAR,22,34,19,22,17,26,16,18,,
20,22.86,RB4,Nicholas Singleton,TEN,22,18,27,18,22,23,33,19,,
21,23.43,WR13,Zachariah Branch,ATL,22,23,18,26,24,31,20,22,,
22,23.57,TE3,Max Klare,LAR,22,32,20,21,20,17,34,21,,
23,24.57,WR14,Elijah Sarratt,BAL,22,29,24,24,19,19,27,30,,
24,24.71,RB5,Emmett Johnson,KC,22,17,26,31,23,21,32,23,,
25,25.43,RB6,Mike Washington Jr,LV,22,19,31,36,21,22,25,24,,
26,26.57,WR15,Malachi Fields,NYG,23,31,22,30,26,33,19,25,,
27,26.71,QB3,Carson Beck,ARI,23,24,28,45,31,16,23,20,,
28,28.86,RB7,Kaytron Allen,WAS,23,20,29,29,29,29,38,28,,
29,29.43,WR16,Bryce Lance,NO,24,35,23,25,27,35,30,31,,
30,31.14,QB4,Drew Allar,PIT,22,26,30,35,33,36,26,32,,
31,31.86,WR17,Skyler Bell,BUF,23,28,25,44,30,34,29,33,,
32,32.43,WR18,Ja'Kobi Lane,BAL,21,27,34,46,28,37,21,34,,
33,32.86,TE4,Eli Raridon,NE,22,33,38,20,38,43,31,27,,
34,33.00,RB8,Kaelon Black,SF,24,36,-,32,35,20,22,37,,
35,34.00,RB9,Demond Claiborne,MIN,22,38,32,27,32,28,42,39,,
36,34.14,TE5,Oscar Delp,NO,22,43,33,19,37,44,28,35,,
37,35.71,RB10,Adam Randall,BAL,21,37,39,41,34,27,36,36,,
38,36.29,WR19,Brenen Thompson,LAC,22,48,36,28,36,42,35,29,,
39,39.00,RB11,Eli Heidenreich,PIT,22,40,37,34,41,40,41,40,,
40,39.14,WR20,Caleb Douglas,MIA,22,30,41,47,40,30,37,-,,
41,40.43,TE6,Justin Joly,DEN,21,42,-,39,39,32,44,38,,
42,42.00,QB5,Cade Klubnik,NYJ,22,25,35,-,-,-,46,41,,
43,43.00,QB6,Cole Payton,PHI,23,46,40,38,43,39,-,46,,
44,43.86,RB12,Seth McGowan,IND,25,39,45,-,42,41,-,42,,
45,44.43,QB7,Taylen Green,CLE,23,45,42,43,47,38,-,47,,
46,45.86,WR21,Kevin Coleman Jr,MIA,22,47,-,33,-,46,-,48,,
47,45.86,WR22,Cyrus Allen,KC,23,-,46,40,-,-,39,-,,
48,46.14,WR23,Zavion Thomas,CHI,22,-,44,37,-,48,47,-,,
49,47.14,WR24,Deion Burks,IND,23,-,47,-,44,-,-,43,,
50,47.57,WR25,Josh Cameron,JAC,23,-,-,42,46,-,-,-,,
51,47.57,TE7,Sam Roush,CHI,22,44,-,48,-,45,-,-,,
52,47.71,WR26,Colbie Young,CIN,22,-,-,-,-,-,40,-,,
53,47.71,WR27,CJ Daniels,LAR,24,-,-,-,-,-,45,44,,
54,47.86,TE8,Tanner Koziol,JAC,22,41,-,-,-,-,-,-,,
55,48.14,WR28,Reggie Virgil,ARI,-,-,-,-,-,-,43,-,,
56,48.14,TE9,Marlin Klein,HOU,23,-,43,-,-,-,-,-,,
57,48.43,QB8,Garrett Nussmeier,KC,24,-,-,-,45,-,-,-,,
58,48.43,TE10,Jack Endries,CIN,22,-,-,-,-,-,-,45,,
59,48.57,RB13,Jam Miller,NE,22,-,48,-,-,47,-,-,,
60,48.86,TE11,Michael Trigg,DAL,23,-,-,-,48,-,-,-,,
61,48.86,WR29,Malik Benson,LV,23,-,-,-,-,-,48,-,,
